epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1326,1.53715,3.36398,1.37342,0.00333,0.92553,0.36835,0.18379,1.34339,3.65476,1.19034,0.00042,0.00042,0.00042
2,27.8662,1.43486,2.19155,1.24425,0.78386,0.07738,0.40368,0.18773,1.55537,3.49429,1.29026,0.000857872,0.000857872,0.000857872
3,38.0355,1.49404,2.05025,1.2292,0.95973,0.50718,0.70416,0.357,1.66986,3.13936,1.50666,0.00129356,0.00129356,0.00129356
4,48.3208,1.56128,2.02815,1.34106,0.15859,0.11702,0.06947,0.03098,1.69932,4.26743,1.59518,0.00172708,0.00172708,0.00172708
5,60.5478,1.50953,1.9509,1.28623,0.58484,0.46461,0.39486,0.18986,1.71275,2.56824,1.54836,0.0019802,0.0019802,0.0019802
6,70.1316,1.48446,1.76919,1.30185,0.82793,0.61702,0.71926,0.3447,1.69394,2.64205,1.50887,0.00197525,0.00197525,0.00197525
7,81.3247,1.52594,1.59347,1.31084,0.29364,0.41489,0.29778,0.13751,1.85087,6.68484,1.7747,0.0019703,0.0019703,0.0019703
8,93.729,1.58253,1.56179,1.35986,0.6791,0.56283,0.57781,0.28157,1.82178,2.63207,1.77811,0.00196535,0.00196535,0.00196535
9,103.132,1.49117,1.39325,1.33084,0.7516,0.57943,0.66101,0.29133,1.93289,2.39885,1.80469,0.0019604,0.0019604,0.0019604
10,115.121,1.46234,1.33073,1.2913,0.85042,0.75532,0.79897,0.38479,1.64794,1.92509,1.58436,0.00195545,0.00195545,0.00195545
11,125.552,1.45463,1.25256,1.29311,0.81097,0.73404,0.80804,0.39118,1.62731,1.67994,1.49943,0.0019505,0.0019505,0.0019505
12,135.819,1.42378,1.22354,1.26389,0.71166,0.7234,0.7469,0.3397,1.67824,1.51037,1.46962,0.00194555,0.00194555,0.00194555
13,147.789,1.45083,1.15509,1.23771,0.77025,0.79787,0.80007,0.39658,1.74387,1.30821,1.45721,0.0019406,0.0019406,0.0019406
14,156.72,1.43632,1.20749,1.21764,0.85857,0.67021,0.77712,0.3938,1.65531,1.5749,1.46938,0.00193565,0.00193565,0.00193565
15,168.464,1.40208,1.10928,1.25421,0.81399,0.79787,0.8127,0.43641,1.59162,1.10051,1.42158,0.0019307,0.0019307,0.0019307
16,179.2,1.43093,1.13317,1.28152,0.94411,0.71886,0.84196,0.43936,1.60042,1.08633,1.38106,0.00192575,0.00192575,0.00192575
17,189.638,1.40591,1.09296,1.25587,0.89455,0.79787,0.87817,0.46752,1.62864,0.99715,1.42809,0.0019208,0.0019208,0.0019208
18,201.892,1.42632,1.1125,1.26531,0.88765,0.79787,0.88791,0.46467,1.59722,1.00472,1.41778,0.00191585,0.00191585,0.00191585
19,210.506,1.40723,1.0363,1.22204,0.90885,0.74254,0.85323,0.40546,1.72692,1.01397,1.47647,0.0019109,0.0019109,0.0019109
20,222.499,1.44967,1.01569,1.28119,0.8231,0.74252,0.80919,0.41093,1.6134,1.36891,1.43387,0.00190595,0.00190595,0.00190595
21,232.397,1.43958,1.06334,1.24855,0.89397,0.75532,0.85821,0.42856,1.58465,1.05626,1.41939,0.001901,0.001901,0.001901
22,242.425,1.39182,1.02546,1.22741,0.8533,0.82979,0.86195,0.46811,1.52206,0.9358,1.3888,0.00189605,0.00189605,0.00189605
23,253.676,1.42114,0.97383,1.23226,0.91544,0.80618,0.89114,0.47436,1.61494,0.89422,1.41876,0.0018911,0.0018911,0.0018911
24,262.554,1.29378,0.95059,1.18792,0.88819,0.84043,0.87256,0.45477,1.55581,0.97287,1.35863,0.00188615,0.00188615,0.00188615
25,274.764,1.37088,0.96136,1.22908,0.87716,0.83567,0.84543,0.44534,1.56219,1.27554,1.44947,0.0018812,0.0018812,0.0018812
26,284.95,1.3751,0.90012,1.25066,0.87634,0.89362,0.92682,0.46088,1.53468,0.87969,1.41998,0.00187625,0.00187625,0.00187625
27,295.085,1.31193,0.90017,1.20296,0.86881,0.84545,0.89281,0.46047,1.60984,0.85236,1.41677,0.0018713,0.0018713,0.0018713
28,306.805,1.35559,0.89603,1.23347,0.91004,0.79787,0.85914,0.47672,1.53411,0.94188,1.41359,0.00186635,0.00186635,0.00186635
29,315.653,1.37195,0.90056,1.26278,0.93684,0.78897,0.9001,0.46631,1.59306,0.91834,1.41,0.0018614,0.0018614,0.0018614
30,327.31,1.34817,0.88284,1.21261,0.88189,0.82979,0.91864,0.46122,1.58656,0.90748,1.43853,0.00185645,0.00185645,0.00185645
31,338.096,1.24571,0.88724,1.17158,0.92525,0.87234,0.92413,0.51705,1.47224,0.79887,1.35839,0.0018515,0.0018515,0.0018515
32,347.838,1.30545,0.87344,1.19402,0.9244,0.81915,0.89591,0.50825,1.52931,0.7834,1.37454,0.00184655,0.00184655,0.00184655
33,360.19,1.32757,0.89936,1.22151,0.89298,0.81915,0.90144,0.46133,1.64132,0.94939,1.44134,0.0018416,0.0018416,0.0018416
34,369.211,1.36892,0.89431,1.23735,0.83586,0.75846,0.8887,0.46102,1.61304,0.9787,1.43918,0.00183665,0.00183665,0.00183665
35,379.818,1.26304,0.84441,1.19712,0.8706,0.82979,0.89654,0.48142,1.60387,0.83501,1.45899,0.0018317,0.0018317,0.0018317
36,391.039,1.30822,0.88813,1.21252,0.94446,0.82979,0.89871,0.50988,1.48506,0.82409,1.34526,0.00182675,0.00182675,0.00182675
37,400.785,1.28854,0.85702,1.19616,0.85963,0.7766,0.84752,0.42511,1.58256,0.9633,1.45094,0.0018218,0.0018218,0.0018218
38,412.94,1.25455,0.84734,1.19418,0.90603,0.82062,0.86664,0.45628,1.58287,0.85619,1.46487,0.00181685,0.00181685,0.00181685
39,422.138,1.26813,0.86959,1.1825,0.93502,0.80851,0.86389,0.44082,1.59258,0.84077,1.39719,0.0018119,0.0018119,0.0018119
40,433.864,1.2546,0.82736,1.1717,0.92179,0.73404,0.83273,0.45419,1.60987,0.86922,1.41678,0.00180695,0.00180695,0.00180695
41,445.347,1.25761,0.8471,1.1852,0.92825,0.84043,0.88713,0.46189,1.61757,0.86746,1.34951,0.001802,0.001802,0.001802
42,454.508,1.27341,0.82915,1.1726,0.91894,0.81915,0.88402,0.47254,1.54693,0.84395,1.37787,0.00179705,0.00179705,0.00179705
43,466.729,1.25057,0.85488,1.16508,0.88751,0.87234,0.91989,0.48249,1.5106,0.81367,1.32296,0.0017921,0.0017921,0.0017921
44,476.235,1.22829,0.80687,1.15398,0.93324,0.81915,0.90286,0.5191,1.50954,0.797,1.38974,0.00178715,0.00178715,0.00178715
45,487.387,1.23778,0.78299,1.16572,0.91457,0.82979,0.90383,0.48075,1.52898,0.82568,1.37961,0.0017822,0.0017822,0.0017822
46,498.806,1.24446,0.79144,1.18332,0.97526,0.8386,0.9065,0.49806,1.59321,0.77579,1.39458,0.00177725,0.00177725,0.00177725
47,508.225,1.23346,0.75187,1.15748,0.92274,0.89362,0.92228,0.49899,1.5596,0.73987,1.35939,0.0017723,0.0017723,0.0017723
48,520.042,1.2816,0.79398,1.21738,0.91372,0.90126,0.90906,0.49324,1.56396,0.76009,1.37069,0.00176735,0.00176735,0.00176735
49,529.638,1.29263,0.81367,1.16984,0.83669,0.87206,0.89027,0.47924,1.53389,0.75774,1.41497,0.0017624,0.0017624,0.0017624
50,540.846,1.29061,0.81,1.18502,0.9306,0.8559,0.88496,0.4974,1.50001,0.75729,1.36176,0.00175745,0.00175745,0.00175745
51,552.221,1.25149,0.79413,1.16866,0.85841,0.90296,0.9158,0.47824,1.5561,0.77419,1.35549,0.0017525,0.0017525,0.0017525
52,561.553,1.21644,0.76709,1.1525,0.91053,0.88298,0.92354,0.513,1.53412,0.74034,1.36909,0.00174755,0.00174755,0.00174755
53,573.435,1.22613,0.79044,1.17049,0.893,0.90426,0.90877,0.47664,1.52011,0.77086,1.36734,0.0017426,0.0017426,0.0017426
54,583.522,1.25561,0.78295,1.16956,0.93204,0.89362,0.9168,0.47687,1.55012,0.77419,1.35824,0.00173765,0.00173765,0.00173765
55,594.645,1.2043,0.76181,1.16104,0.86006,0.90426,0.89666,0.5139,1.49055,0.76709,1.33792,0.0017327,0.0017327,0.0017327
56,606.287,1.17992,0.73834,1.14302,0.92909,0.88298,0.92881,0.54832,1.51169,0.73805,1.32467,0.00172775,0.00172775,0.00172775
57,615.553,1.19145,0.7534,1.14675,0.93683,0.8617,0.92873,0.49328,1.6288,0.76373,1.36173,0.0017228,0.0017228,0.0017228
58,627.726,1.24943,0.77448,1.16391,0.8266,0.86211,0.88067,0.48418,1.56483,0.77128,1.38685,0.00171785,0.00171785,0.00171785
59,637.044,1.20733,0.74718,1.14557,0.91418,0.79333,0.8823,0.48897,1.54885,0.81149,1.37241,0.0017129,0.0017129,0.0017129
60,648.304,1.18953,0.73621,1.12363,0.97417,0.8025,0.88622,0.4675,1.61967,0.82954,1.41579,0.00170795,0.00170795,0.00170795
61,659.598,1.24332,0.77553,1.1848,0.89722,0.89362,0.92761,0.51556,1.48862,0.71859,1.33708,0.001703,0.001703,0.001703
62,669.3,1.24227,0.7674,1.19446,0.86155,0.86059,0.86683,0.49651,1.51932,0.80475,1.38422,0.00169805,0.00169805,0.00169805
63,681.48,1.20798,0.74931,1.15029,0.90369,0.82979,0.90022,0.49127,1.55699,0.73904,1.34392,0.0016931,0.0016931,0.0016931
64,691.166,1.17946,0.74351,1.15699,0.95688,0.87234,0.93823,0.53454,1.49622,0.68186,1.3721,0.00168815,0.00168815,0.00168815
65,702.23,1.24206,0.73751,1.17694,0.92931,0.84043,0.90688,0.52596,1.5551,0.72923,1.42555,0.0016832,0.0016832,0.0016832
66,714.68,1.20844,0.74087,1.16995,0.89407,0.89789,0.93911,0.49444,1.55715,0.72968,1.38258,0.00167825,0.00167825,0.00167825
67,723.452,1.17941,0.75003,1.11131,0.87779,0.89362,0.91406,0.497,1.62003,0.7655,1.41893,0.0016733,0.0016733,0.0016733
68,735.657,1.2084,0.75866,1.14128,0.89194,0.87809,0.89999,0.4991,1.53173,0.7368,1.41602,0.00166835,0.00166835,0.00166835
69,745.112,1.21194,0.75226,1.15886,0.86539,0.82979,0.87056,0.49791,1.52197,0.76964,1.37491,0.0016634,0.0016634,0.0016634
70,756.383,1.19646,0.73392,1.13186,0.91936,0.84899,0.91887,0.50576,1.51744,0.71463,1.35557,0.00165845,0.00165845,0.00165845
71,767.394,1.23372,0.73519,1.14549,0.88384,0.8904,0.90858,0.48015,1.5357,0.73908,1.40792,0.0016535,0.0016535,0.0016535
72,776.775,1.11904,0.6826,1.0994,0.89916,0.88298,0.89977,0.483,1.53709,0.75168,1.39771,0.00164855,0.00164855,0.00164855
73,788.628,1.16466,0.66757,1.11925,0.93179,0.87201,0.94456,0.49129,1.51049,0.72496,1.40343,0.0016436,0.0016436,0.0016436
74,797.961,1.19548,0.71549,1.13398,0.88133,0.88298,0.90515,0.49641,1.54292,0.74899,1.42018,0.00163865,0.00163865,0.00163865
75,809.283,1.13208,0.66679,1.12555,0.89622,0.91875,0.91318,0.48898,1.56183,0.70386,1.41202,0.0016337,0.0016337,0.0016337
76,820.329,1.14966,0.68687,1.13737,0.87737,0.90426,0.92265,0.48491,1.55293,0.72364,1.41459,0.00162875,0.00162875,0.00162875
77,829.394,1.14913,0.73507,1.15959,0.9016,0.87728,0.8829,0.45157,1.62803,0.76947,1.43144,0.0016238,0.0016238,0.0016238
78,841.43,1.18107,0.68672,1.14296,0.93399,0.90316,0.91138,0.48372,1.57119,0.7147,1.40544,0.00161885,0.00161885,0.00161885
79,850.287,1.18951,0.70958,1.13501,0.83718,0.8752,0.87055,0.47666,1.53251,0.76712,1.3565,0.0016139,0.0016139,0.0016139
80,861.208,1.14255,0.7153,1.11461,0.91202,0.87234,0.89719,0.49973,1.49231,0.71643,1.36138,0.00160895,0.00160895,0.00160895
81,872.47,1.15452,0.68961,1.12115,0.94224,0.86781,0.90735,0.50796,1.47111,0.69801,1.37005,0.001604,0.001604,0.001604
82,881.935,1.12235,0.69526,1.10451,0.85081,0.87234,0.88748,0.44788,1.58427,0.78985,1.50684,0.00159905,0.00159905,0.00159905
83,893.209,1.10207,0.6511,1.09358,0.91234,0.88575,0.91635,0.49714,1.52308,0.69551,1.40968,0.0015941,0.0015941,0.0015941
84,902.538,1.12014,0.67058,1.12939,0.92095,0.86757,0.89509,0.48699,1.52962,0.69554,1.40358,0.00158915,0.00158915,0.00158915
85,913.861,1.15745,0.68812,1.11861,0.88124,0.8684,0.89761,0.50767,1.49785,0.70327,1.40015,0.0015842,0.0015842,0.0015842
